M,H,G,Name
1,1,1,User One
2,2,2,User Two
3,3,3,User Three
4,4,4,User Four
5,5,,User Five
6,6,5,User Six
7,7,,User Seven
8,8,6,User Eight
9,,,User Nine
10,9,,User Ten
11,10,7,User Eleven
12,,,User Tweleve
13,,,User Thirteen
14,11,8,User Fourteen
15,12,10,User Fifteen
16,,,User Sixteen
17,13,9,User Seventeen
18,14,,User Eightteen
19,,,User Nineteen
20,15,,User Twenty
21,16,,User Twenty One
22,,,User Twenty Two
23,17,,User Twenty Three
24,,,User Twenty Four
25,,,User Twenty Five
26,,,User Twenty Six
,,,User Twenty Seven
,,,User Twenty Eight
,,,User Twenty Nine
